,code,post_code,x,y
369,A87013,NE28 0AD,,
370,A87014,NE27 0HJ,,
371,A87015,NE29 0SF,,
372,A87016,NE28 6BB,,
373,A87017,NE13 6JJ,,
374,A87019,NE29 0DZ,,
375,A87020,NE25 9PH,,
376,A87022,NE27 0HJ,,
377,A87023,NE27 0HJ,,
378,A87027,NE28 0PP,,
379,A87029,NE28 7LP,,
380,A87030,NE29 6HT,,
381,A87600,NE26 1DU,,
382,A87612,NE12 6HS,,
383,A87615,NE12 6HS,,
384,A88001,NE31 1NU,,
385,A88002,NE33 4QY,,
386,A88003,NE34 6RE,,
387,A88004,NE32 5SE,,
388,A88005,NE34 9BP,,
389,A88006,NE34 0BX,,
390,A88007,NE33 4DX,,
391,A88008,NE33 5DU,,
392,A88009,NE35 9AN,,
393,A88010,NE32 5AG,,
394,A88011,NE33 4JP,,
395,A88012,NE31 2SP,,
396,A88013,NE34 8PS,,
397,A88014,NE33 4JP,,
398,A88015,NE33 5DU,,
399,A88016,NE35 9AN,,
400,A88020,NE33 2PG,,
401,A88022,NE31 1NU,,
402,A88023,SR6 7EE,,
403,A88024,NE32 3JN,,
404,A88025,NE32 3UX,,
405,A88601,NE33 4EG,,
406,A88603,NE31 1NU,,
407,A88608,NE33 3ET,,
408,A88611,NE33 4JP,,
409,A88613,NE32 3UX,,
410,A88614,NE33 2PG,,
411,A89001,SR2 8AD,,
412,A89002,SR1 2HJ,,
413,A89003,NE38 7NQ,,
414,A89004,DH5 9EZ,,
415,A89005,SR2 8AX,,
416,A89006,SR4 7XF,,
417,A89007,SR4 7XF,,
418,A89008,SR5 5PS,,
419,A89009,DH4 4LE,,
420,A89010,NE37 2PU,,
421,A89011,SR3 2AN,,
422,A89012,NE38 7NQ,,
423,A89013,SR1 2QB,,
424,A89014,SR6 0AB,,
425,A89015,SR6 8DZ,,
426,A89016,SR6 0QQ,,
427,A89017,SR4 7AF,,
428,A89018,SR2 8JG,,
429,A89019,SR5 2LT,,
430,A89020,SR4 6QE,,
431,A89021,DH4 5EQ,,
432,A89022,NE37 2PU,,
433,A89023,DH4 4DN,,
434,A89024,SR3 4HG,,
435,A89025,NE38 7NQ,,
436,A89026,NE37 2PU,,
437,A89027,SR3 4HG,,
438,A89028,DH4 4RB,,
439,A89029,SR3 1RN,,
440,A89030,DH4 4RW,,
441,A89031,SR4 7XF,,
442,A89032,SR3 2AN,,
443,A89034,SR2 7BA,,
444,A89035,SR2 0RX,,
445,A89036,SR5 3EX,,
446,A89038,NE38 8JF,,
447,A89040,SR6 0AB,,
448,A89041,SR3 4BY,,
449,A89042,SR3 2AW,,
450,A89603,SR5 2LT,,
451,A89604,SR5 2LT,,
452,A89610,SR2 0RY,,
453,A89611,SR2 7PF,,
454,A89612,SR1 1XW,,
455,A89614,SR4 0LS,,
456,A89616,NE38 9EH,,
457,A89617,NE38 9AB,,
458,A89618,SR6 0AB,,
459,A89620,NE37 2PU,,
460,A89621,SR4 9AS,,
461,A89623,SR4 7TU,,
462,A89624,NE37 2PU,,
463,A89625,SR1 1XW,,
464,A89632,SR2 0NY,,
465,A89634,SR2 0NY,,
466,A91020,SP4 8QY,,
467,A91021,NG34 8HB,,
468,A91022,BH20 6JA,,
469,A91023,SP4 9AD,,
470,A91024,DL9 3PZ,,
471,A91025,GU24 0QQ,,
472,A91026,GU15 4PQ,,
473,A91027,SP9 7EA,,
474,A91028,BA12 0DJ,,
475,A91029,OX10 6AA,,
476,A91030,OX18 3LX,,
477,A91031,LN4 4SY,,
478,A91032,WV7 3EX,,
479,A91033,SN15 4XX,,
480,A91034,KT18 6JW,,
481,A91035,YO30 2AJ,,
482,A91036,HP22 5PG,,
483,A91037,DL7 9NJ,,
484,A91038,PE33 9NP,,
485,A91039,HA4 6NG,,
486,A91040,SY4 4DZ,,
487,A91041,PE8 6HB,,
488,A91042,HA6 3HP,,
489,A91043,SG16 6DN,,
490,A91044,SG17 5PR,,
491,A91045,SL4 3DN,,
492,A91046,RG18 9TP,,
493,A91047,RG2 9NH,,
494,A91048,BH15 4NQ,,
495,A91049,HP14 4UE,,
496,A91050,HP9 2RP,,
497,A91051,CB25 9PA,,
498,A91052,PE28 2EA,,
499,A91053,SG8 5LX,,
500,A91054,SL4 1HS,,
501,A91055,PR2 8AA,,
502,A91056,PL11 2PD,,
503,A91057,TR12 7RH,,
504,A91058,TR8 4HP,,
505,A91059,CA8 7AT,,
506,A91060,EX31 4AZ,,
507,A91061,EX8 5AR,,
508,A91062,PL6 7AJ,,
509,A91063,TQ6 0HJ,,
510,A91064,DT11 8RH,,
511,A91065,HU17 7LX,,
512,A91066,CT1 1JU,,
513,A91067,CT20 3HF,,
514,A91068,GL3 1HW,,
515,A91070,GL7 5RD,,
516,A91071,SE18 4AB,,
517,A91072,GU17 9LP,,
518,A91073,GU35 0HR,,
519,A91076,PO12 3BY,,
520,A91077,PO14 1AS,,
521,A91078,PO17 6EJ,,
522,A91079,RG29 1QT,,
523,A91080,SO20 8DY,,
524,A91081,SO21 2RG,,
525,A91082,SO22 6NQ,,
526,A91083,SO40 4ZG,,
527,A91084,GU11 1AY,,
528,A91085,HR4 7DD,,
529,A91086,TW4 6HD,,
530,A91087,SE1 7EH,,
531,A91088,LE15 8RL,,
532,A91089,LN1 2TR,,
533,A91090,LN5 9NB,,
534,A91091,NG31 7TJ,,
535,A91092,ME4 4UG,,
536,A91093,NR20 4TX,,
537,A91094,CO2 7UT,,
538,A91095,CO2 9NU,,
539,A91096,PR4 3JQ,,
540,A91097,DL9 3PS,,
541,A91098,HG3 2SE,,
542,A91099,HG4 2RD,,
543,A91100,YO10 4HD,,
544,A91101,DL7 9NJ,,
545,A91102,YO7 3EY,,
546,A91103,YO7 3EZ,,
547,A91104,NE15 0RF,,
548,A91105,NE66 3JF,,
549,A91106,NG9 5HA,,
550,A91107,NG9 5HA,,
551,A91108,OX13 6BJ,,
552,A91109,OX25 1PP,,
553,A91110,PL1 2PD,,
554,A91111,PL1 3QS,,
555,A91112,PL2 2BG,,
556,A91113,PO1 3LT,,
557,A91114,PO2 8ER,,
558,A91115,TW2 7DU,,
559,A91116,TF9 3QE,,
560,A91117,BA22 8HT,,
561,A91118,TA2 6PF,,
562,A91119,B5 7LX,,
563,A91120,BS34 8JH,,
564,A91121,ST18 0AQ,,
565,A91122,WS14 9PY,,
566,A91123,IP12 3TW,,
